"Date","Price","Open","High","Low","Vol.","Change %"
"28/01/2024","3,132.0","3,108.0","3,156.0","3,103.0","99.07K","1.49%"
"21/01/2024","3,086.0","3,095.0","3,113.0","3,074.0","90.65K","-0.80%"
"14/01/2024","3,111.0","3,135.0","3,147.0","3,081.0","92.28K","-0.64%"
"07/01/2024","3,131.0","3,111.0","3,141.0","3,083.0","98.50K","-0.10%"
"31/12/2023","3,134.0","3,173.0","3,190.0","3,109.0","128.37K","-0.70%"
"24/12/2023","3,156.0","3,175.0","3,175.0","3,153.0","106.91K","0.03%"
"17/12/2023","3,155.0","3,102.0","3,155.0","3,099.0","164.95K","1.12%"
"10/12/2023","3,120.0","3,092.0","3,142.0","3,069.0","125.95K","0.29%"
"03/12/2023","3,111.0","3,173.0","3,188.0","3,102.0","188.68K","-1.43%"
"26/11/2023","3,156.0","3,103.0","3,164.0","3,099.0","150.57K","2.24%"
"19/11/2023","3,087.0","3,088.0","3,118.0","3,067.0","51.64K","-0.55%"
"12/11/2023","3,104.0","3,085.0","3,127.0","3,062.0","89.42K","0.39%"
"05/11/2023","3,092.0","3,119.0","3,125.0","3,079.0","87.81K","-1.25%"
"29/10/2023","3,131.0","3,207.0","3,214.0","3,129.0","142.06K","-1.35%"
"22/10/2023","3,174.0","3,163.0","3,210.0","3,116.0","105.74K","-0.56%"
"15/10/2023","3,192.0","3,055.0","3,199.0","3,053.0","111.74K","3.54%"
"08/10/2023","3,083.0","2,955.0","3,083.0","2,936.0","195.19K","5.91%"
"01/10/2023","2,911.0","2,941.0","2,949.0","2,898.0","115.30K","-1.61%"
"24/09/2023","2,958.5","3,058.0","3,070.0","2,960.0","77.35K","-3.38%"
"17/09/2023","3,062.0","3,029.0","3,064.0","3,022.0","77.06K","1.22%"
"10/09/2023","3,025.0","2,996.0","3,029.0","2,971.0","59.94K","0.97%"
"03/09/2023","2,996.0","3,002.0","3,010.0","2,980.0","34.74K","0.13%"
"27/08/2023","2,992.0","2,967.0","2,994.0","2,965.0","103.34K","1.29%"
"20/08/2023","2,954.0","2,890.0","2,964.0","2,884.0","34.50K","2.11%"
"13/08/2023","2,893.0","2,938.0","2,939.0","2,890.0","23.77K","-1.50%"
"06/08/2023","2,937.0","2,963.0","2,965.0","2,925.0","103.02K","-0.71%"
"30/07/2023","2,958.0","2,958.0","2,985.0","2,957.0","89.62K","-0.45%"
"23/07/2023","2,971.5","2,968.0","2,990.0","2,945.0","33.73K","0.02%"
"16/07/2023","2,971.0","2,906.0","2,993.0","2,900.0","245.66K","2.20%"
"09/07/2023","2,907.0","2,925.0","2,936.0","2,900.0","64.47K","-0.78%"
"02/07/2023","2,930.0","2,941.0","2,961.0","2,908.0","57.65K","-0.27%"
"25/06/2023","2,938.0","2,943.0","2,963.0","2,920.0","74.62K","-0.20%"
"18/06/2023","2,944.0","2,966.0","2,983.0","2,924.0","267.71K","-1.14%"
"11/06/2023","2,978.0","3,033.0","3,045.0","2,966.0","96.39K","-1.91%"
"04/06/2023","3,036.0","3,049.0","3,088.0","3,030.0","74.43K","-0.95%"
"28/05/2023","3,065.0","3,056.0","3,102.0","3,052.0","56.06K","-0.10%"
"21/05/2023","3,068.0","3,096.0","3,115.0","3,059.0","58.99K","-0.58%"
"14/05/2023","3,086.0","3,148.0","3,151.0","3,065.0","94.44K","-1.81%"
"07/05/2023","3,143.0","3,120.0","3,153.0","3,114.0","253.81K","1.35%"
"30/04/2023","3,101.0","3,093.0","3,186.0","3,087.0","570.78K","0.58%"
"23/04/2023","3,083.0","3,104.0","3,130.0","3,080.0","70.14K","-0.61%"
"16/04/2023","3,102.0","3,152.0","3,166.0","3,092.0","154.77K","-0.99%"
"09/04/2023","3,133.0","3,137.0","3,182.0","3,127.0","89.12K","-0.48%"
"02/04/2023","3,148.0","3,097.0","3,169.0","3,085.0","150.98K","1.09%"
"26/03/2023","3,114.0","3,134.0","3,138.0","3,085.0","114.63K","-1.55%"
"19/03/2023","3,163.0","3,195.0","3,209.0","3,077.0","79.13K","0.96%"
"12/03/2023","3,133.0","3,017.0","3,148.0","3,017.0","329.52K","4.52%"
"05/03/2023","2,997.5","3,002.0","3,006.0","2,975.0","77.23K","-0.08%"
"26/02/2023","3,000.0","2,951.0","3,001.0","2,905.0","45.79K","1.49%"
"19/02/2023","2,956.0","2,970.0","2,990.0","2,945.0","70.86K","-0.87%"
"12/02/2023","2,982.0","3,009.0","3,011.0","2,950.0","104.35K","-0.63%"
